id,created at,updated at,is archived,metadata,pest type,scientific name,stage pest,action threshold,action threshold risk,stage crop growth,cultural,cultural description,biological,biological description,pest presence period,no of plants affected
7138f6bb-77d9-433f-a021-dd65f8e06e3b,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,> 30 ,high,flowering,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana,1.0,1.0
a5f31194-06cb-4110-a335-6dd597318dec,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,4-30 ,moderate,flowering,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%).",1.0,1.0
b96805ef-226d-4215-9a97-01789575d235,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,4-30 ,moderate,flowering,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves",Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae,1.0,1.0
20d793fd-2383-4aa2-981d-d08fadd30408,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,4-30 ,moderate,flowering,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana,1.0,1.0
efa08ae2-bda3-41fb-91ba-cdd36fdd3f6f,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4 ,low,flowering,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves,add repellant crops around the tomato rows, conserve natural enemies",none ,none,1.0,1.0
499d4efc-86e2-4099-ad15-e1b63cfa09db,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4 ,low,flowering,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%).",1.0,1.0
87ce55ea-b7cf-4e06-9d51-d17472e6e525,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4 ,low,flowering,crop management,"adeaquate irrigation, adequate fertilizer application",Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae,1.0,1.0
cd3411bd-3616-4bf7-9589-22ef09a1ea37,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4 ,low,flowering,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana,1.0,1.0
6e833136-dcbb-4dec-b9bd-7c5edf4116dc,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,pupae,8-12 ,none,flowering,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves, use of pheromone traps",Natural enemies,"Steinernema carpocapsae (Weiser), Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora PoinarMetarhizium anisopliae var. anisopliae (Metchnikoff)Conura sp. (syn Spilochalcis sp.)Invreia sp.Horismenus sp.Elasmus sp.",1.0,1.0
eaa9ca6e-73e8-4a0b-8748-17e5bf7eb48f,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,1-3 ,none,flowering,Field hygiene,"Destroy infested plants/ plant parts,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts,kill weed host",Natural enemies,"Necremnus artynesHemiptarsenus zilahisebessi Erdo¨sGoniozus nigrifemurAgathis sp.Apanteles sp.Bracon sp.Chelonus sp.Earinus sp.Orgilussp.Pseudapanteles dignusChrysonotomyia sp.Clostrocerus formosusDineulophus phthormiaeaeHorismenus sp.Elasmus sp.Neochrysocharis formosaRetisympiesis phthorimaeaSympiesis sp.Tetrastichus sp.Zagrammosoma sp.Campoplex haywardiDiadegma sp.Pristomerus sp.Temelucha sp.Archytas sp.Nesidiocoris tenuisMacrolophus pygmaeusDicyphys marrocannusDicyphus erransDicyphus tamaninii WagnerTapinoma nigerrimum (Nylander) Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora Poinar",1.0,1.0
9619cc2c-59ce-4202-9eb3-8c2cce591ec3,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,flowering,crop management,"Adequate irrigation,Adequate fertilizer application",none ,none,0.0,0.0
08024dca-1702-4ced-9d50-ea4c3fab1073,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,flowering,none,none,none ,none,0.0,0.0
5df8699c-4d86-4fcc-924d-1a95761d028c,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,flowering,none,none,none ,none,0.0,0.0
85e5d94b-20e1-4001-85a1-d6dc6d79032b,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,flowering,Field hygiene ,"Kill weed hosts,Removal of infected leaves,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts within and outside tomato farm, conserve natural enemies, add repellant crops",Natural enemies,"Trichogramma spNecremnus sp. nr. artynes (Walker), Stenomesius cf.japonicus (Ashmead)Neochrysocharis formosa (Westwood)Arrhenophagus sp.Copidosoma sp.Anastatus sp.Nesidiocoris tenuis Macrolophus pygmaeusDicyphys marrocannusDicyphus erransDicyphus tamaninii Wagner",0.0,0.0
90356fcf-8c7c-4bc7-a08c-24c35030b524,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,> 30,high,vegetative,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%).",1.0,1.0
96ca5ec6-c1d4-4b99-9e48-ece46b1a1343,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,> 30,high,vegetative,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Remove dried leaves and stem,use of pheromone traps, Add repellant plants around tomato field",Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae,1.0,1.0
16ed8512-c4fb-4b3f-bb33-18207cbb8fc4,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,> 30 ,high,vegetative,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana,1.0,1.0
37a89d74-83fa-4430-b1e9-b86c72213ffe,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,4-30,moderate,vegetative,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%).",1.0,1.0
3d8e394d-46ed-4bac-9944-7ec301b9eb50,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,4-30,moderate,vegetative,Field hgiene,"Removal of alternate hosts within and outside tomato farm,Remove dried leaves and stem,use of pheromone traps, Add repellant plants around tomato field",Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae,1.0,1.0
4798b743-a9b8-4f36-af49-e9185e7771da,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,4-30 ,moderate,vegetative,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana,1.0,1.0
693207a0-fdcf-49a8-aa0b-7708c02fb137,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4,low,vegetative,crop management,"pruning, adequate irrigation",none ,none,1.0,1.0
