type of pest,Scientific_name,stage_pest,action_threshold,Period of pest presence,No of Plants affected,action_threshold_risk,stage_crop growth,cultural,cultural_description,biological,biological_description
Leaf miner,Tuta absoluta,Larve,1-3 ,1.00,,none,Flowering ,Field hygiene,"Destroy infested plants/ plant parts,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts,kill weed host",Natural enemies,"Necremnus artynesHemiptarsenus zilahisebessi Erdo¨sGoniozus nigrifemurAgathis sp.Apanteles sp.Bracon sp.Chelonus sp.Earinus sp.Orgilussp.Pseudapanteles dignusChrysonotomyia sp.Clostrocerus formosusDineulophus phthormiaeaeHorismenus sp.Elasmus sp.Neochrysocharis formosaRetisympiesis phthorimaeaSympiesis sp.Tetrastichus sp.Zagrammosoma sp.Campoplex haywardiDiadegma sp.Pristomerus sp.Temelucha sp.Archytas sp.Nesidiocoris tenuisMacrolophus pygmaeusDicyphys marrocannusDicyphus erransDicyphus tamaninii WagnerTapinoma nigerrimum (Nylander) Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora Poinar"
Leaf miner,Tuta absoluta,pupae,8-12 ,1.00,100.00,none,Flowering ,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves, use of pheromone traps",Natural enemies,"Steinernema carpocapsae (Weiser), Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora PoinarMetarhizium anisopliae var. anisopliae (Metchnikoff)Conura sp. (syn Spilochalcis sp.)Invreia sp.Horismenus sp.Elasmus sp."
Leaf miner,Tuta absoluta,Adult,3-4 ,1.00,0.00,low,Flowering ,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana
Leaf miner,Tuta absoluta,Adult,3-4 ,1.00,0.00,low,Flowering ,crop management,"adeaquate irrigation, adequate fertilizer application",Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae
Leaf miner,Tuta absoluta,Adult,3-4 ,1.00,0.00,low,Flowering ,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%)."
Leaf miner,Tuta absoluta,Adult,3-4 ,1.00,0.00,low,Flowering ,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves,add repellant crops around the tomato rows, conserve natural enemies",none ,none
Leaf miner,Tuta absoluta,Adult,4-30 ,1.00,0.00,Moderate ,Flowering ,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana
Leaf miner,Tuta absoluta,Adult,4-30 ,1.00,0.00,Moderate ,Flowering ,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves",Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae
Leaf miner,Tuta absoluta,Adult,4-30 ,1.00,0.00,Moderate ,Flowering ,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%)."
Leaf miner,Tuta absoluta,Adult,> 30 ,1.00,0.00,High,Flowering ,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana
Leaf miner,Tuta absoluta,Adult,> 30 ,1.00,0.00,High,Flowering ,none,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves, use of pheromone traps",Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae
Leaf miner,Tuta absoluta,Adult,> 30 ,1.00,0.00,High,Flowering ,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%)."
Leaf miner,Tuta absoluta,Eggs ,none,0.00,0.00,none,Fruiting ,Field hygiene ,"Kill weed hosts,Removal of infected leaves,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts within and outside tomato farm",Natural enemies,"Trichogramma spNecremnus sp. nr. artynes (Walker), Stenomesius cf.japonicus (Ashmead)Neochrysocharis formosa (Westwood)Arrhenophagus sp.Copidosoma sp.Anastatus sp.Nesidiocoris tenuis Macrolophus pygmaeusDicyphys marrocannusDicyphus erransDicyphus tamaninii Wagner"
Leaf miner,Tuta absoluta,Eggs ,none,0.00,0.00,none,Fruiting ,crop management,"Adequate irrigation,Adequate fertilizer application",none ,none
Leaf miner,Tuta absoluta,Larve,1-3 larvae per week,1.00,0.00,none,Fruiting ,Field hygiene,"Destroy infested plants/ plant parts,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts,kill weed host",Natural enemies,"Necremnus artynesHemiptarsenus zilahisebessi Erdo¨sGoniozus nigrifemurAgathis sp.Apanteles sp.Bracon sp.Chelonus sp.Earinus sp.Orgilussp.Pseudapanteles dignusChrysonotomyia sp.Clostrocerus formosusDineulophus phthormiaeaeHorismenus sp.Elasmus sp.Neochrysocharis formosaRetisympiesis phthorimaeaSympiesis sp.Tetrastichus sp.Zagrammosoma sp.Campoplex haywardiDiadegma sp.Pristomerus sp.Temelucha sp.Archytas sp.Nesidiocoris tenuisMacrolophus pygmaeusDicyphys marrocannusDicyphus erransDicyphus tamaninii WagnerTapinoma nigerrimum (Nylander) Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora Poinar"
Leaf miner,Tuta absoluta,pupae,8-12 ,0.00,100.00,none,Fruiting ,Field hgyiene,Removal of dried leaves and stems,Natural enemies,"Steinernema carpocapsae (Weiser), Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora PoinarMetarhizium anisopliae var. anisopliae (Metchnikoff)Conura sp. (syn Spilochalcis sp.)Invreia sp.Horismenus sp.Elasmus sp."
